go.id,go.term,Definition,Ontology,pvalue,count.InDataset,count.InGenome,totaltermInDataset,totaltermInGenome,BH.adjusted.p.value,EntrezID
GO:0000122,negative regulation of transcription by RNA polymerase II,"Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II.",BP,3.0634983551274e-4,162,735,252042,1476651,0.027499925631916177,4734;9611;9612;3337;9531;138151;4781;5155;5467;652;6662;9759;10062;1021;1045;10468;1050;10507;10664;11060;1407;148979;153090;1602;1649;165631;1786;1788;1877;1906;1942;1991;2063;2099;2100;2117;2120;2186;221895;2263;2274;22849;22882;2296;22980;2302;23040;2309;23186;23286;23314;23327;23405;23650;25803;26145;26287;2649;27063;2736;284252;28996;2909;29128;3065;3169;3280;3281;3297;3397;3399;3607;367;3720;388585;3952;4084;4088;4188;4193;4194;4261;4286;441478;4591;4602;463;4773;4782;4783;4784;4799;51043;51341;5138;51513;51523;51588;51741;54039;5463;5468;54880;55689;5569;55841;55869;5629;56950;57167;5727;57507;57600;57659;58495;5916;59341;595;60436;6097;6239;6256;6301;63976;64750;6498;6595;6597;6720;6772;6774;6778;6911;7020;7022;7026;7295;7430;7466;7468;7728;7975;79813;80014;8013;80314;8204;83666;83860;84159;84678;8535;8553;857;861;8626;864;9099;90993;948;9572;9925
GO:0000902,cell morphogenesis,The developmental process in which the size or shape of a cell is generated and organized.,BP,5.69473418266099e-10,221,874,252042,1476651,2.111510575096271e-6,9113;26084;3397;80781;23022;23094;2317;353116;367;64919;79977;79983;122786;57669;10458;1267;2263;22854;4744;4897;51761;56288;57731;596;80128;84612;1002;10512;1400;151449;1826;2049;2131;23114;2534;2674;2736;2817;2887;2909;323;3730;4009;4684;51466;5578;55816;5747;5909;59277;5979;6091;6092;6324;6405;6477;64855;655;6586;6711;6712;7143;729920;7430;7869;8013;8399;8633;8828;8829;90249;9211;9369;9378;9499;9846;1020;2064;89884;10395;10428;10507;11135;116985;152273;1902;2059;2185;221061;221472;2245;226;23268;23370;23580;23654;25805;2768;3249;3689;375611;4627;4651;5064;55785;57619;58480;5962;7429;89846;9368;25987;91584;9201;9331;4781;104;113251;1946;283149;832;10519;23218;25946;5777;87;1785;2932;3475;4099;56920;5802;9423;219699;10461;1942;2041;3685;3912;3915;55698;79778;84168;23499;29882;3984;4137;5058;8766;3280;6507;6904;23242;23105;23566;26053;54437;4916;153090;23405;28988;29993;4681;57624;10160;1952;23043;26012;2902;4734;6383;10090;23303;26037;4915;6498;7074;1523;23363;26259;84079;1501;22891;102;10611;26052;29904;3706;8997;1969;5629;5727;4036;23603;2192;23189;81;1399;1793;201294;4739;57580;6239;6281;80005;344901;23327;57699;6857;8437;9699;440275;5590;8826;348110;101;1191;5027;51092;7042;7380
GO:0000904,cell morphogenesis involved in differentiation,"The change in form (cell shape and size) that occurs when relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history.",BP,4.29830099873076e-9,166,632,252042,1476651,6.3449063171264205e-6,9113;26084;3397;80781;23022;23094;2317;353116;367;64919;79977;79983;122786;57669;10458;1267;2263;22854;4744;4897;51761;56288;57731;596;80128;84612;1002;10512;1400;151449;1826;2049;2131;23114;2534;2674;2736;2817;2887;2909;323;3730;4009;4684;51466;5578;55816;5747;5909;59277;5979;6091;6092;6324;6405;6477;64855;655;6586;6711;6712;7143;729920;7430;7869;8013;8399;8633;8828;8829;90249;9211;9369;9378;9499;9846;1020;2064;89884;25987;91584;9201;9331;4781;104;10519;23218;25946;4627;5777;87;1785;2932;3475;4099;56920;5802;9423;1946;219699;10461;1942;2041;3685;3912;3915;55698;79778;84168;23499;29882;3984;4137;5058;8766;3280;6507;6904;23242;23105;10507;23566;26053;54437;4916;10160;1952;23043;26012;2902;4734;6383;10090;23303;26037;4915;6498;7074;1523;23363;26259;84079;9368;1501;22891;102;10611;26052;29904;3706;8997;1969;5629;5727;23603;2192;23189;81;1399;1793;201294;4739;57580;6239;6281;80005
GO:0001655,urogenital system development,"The process whose specific outcome is the progression of the urogenital system over time, from its formation to the mature structure.",BP,1.93078516697594e-4,81,324,252042,1476651,0.019183464548425372,1512;3399;51107;596;6092;655;80000;168667;2263;2296;4088;4091;5914;5979;6382;6385;652;847;170690;5087;5228;5727;6662;79633;1592;183;23371;25976;2736;403;4326;4357;5176;5314;55959;5629;64220;7020;7042;7161;7380;7466;84159;8879;80144;6772;2288;367;51196;1285;4643;2302;5155;8626;2099;3169;6256;3280;5916;1396;55366;8829;3691;9742;28514;5420;8826;388585;231;10409;342184;55083;8842;3570;4774;9231;7369;7482;8549;1399;2049
GO:0001954,positive regulation of cell-matrix adhesion,Any process that activates or increases the rate or extent of cell adhesion to an extracellular matrix.,BP,4.59645014539968e-4,19,51,252042,1476651,0.0351815698906777,342184;4088;57669;5795;6281;6385;8826;8829;4680;1021;10519;1236;2013;2041;2185;2932;5590;6376;948
GO:0002064,epithelial cell development,"The process whose specific outcome is the progression of an epithelial cell over time, from its formation to the mature structure. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface.",BP,3.57137222733257e-7,63,199,252042,1476651,1.8451494612513724e-4,83605;26084;3397;80781;5914;5916;5241;1021;28514;3172;4821;51092;652;126695;23022;2317;64919;23094;353116;367;79977;79983;122786;57669;60484;6382;6662;91181;9368;3091;25803;3169;10411;2889;5138;5144;5906;5962;7430;81029;8419;1969;5629;4643;5420;8826;2302;5155;50848;5802;7082;9414;51742;3551;406;2932;2099;2683;389015;54768;57619;57835;8626
GO:0002067,glandular epithelial cell differentiation,The process in which a relatively unspecialized cell acquires specialized features of a glandular epithelial cell. A glandular epithelial cell is a columnar/cuboidal epithelial cell found in a two dimensional sheet with a free surface exposed to the lumen of a gland.,BP,7.48794155673632e-4,17,45,252042,1476651,0.04991800006822993,5914;5916;1021;28514;3172;4821;51092;652;25803;3169;6256;2263;8626;5629;406;2932;3280
GO:0006022,aminoglycan metabolic process,"The chemical reactions and pathways involving aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages.",BP,3.952271067176e-4,45,161,252042,1476651,0.03215654876939339,10082;11227;2131;222537;2651;2817;3073;3339;6382;6383;6385;64131;64711;92370;9394;9953;2990;60495;10331;2683;6482;6483;6484;6487;9331;50859;2296;1462;1464;22856;50515;51363;55501;55790;63827;7358;10090;207;347365;10057;57214;6548;2588;55512;5155
GO:0006023,aminoglycan biosynthetic process,"The chemical reactions and pathways resulting in the formation of aminoglycans, any polymer containing amino groups that consists of more than about 10 monosaccharide residues joined to each other by glycosidic linkages.",BP,1.19794895287697e-5,37,108,252042,1476651,0.0021716502684346896,10082;11227;2131;222537;2651;2817;3073;3339;6382;6383;6385;64131;64711;92370;9394;9953;10331;2683;6482;6483;6484;6487;9331;1462;1464;22856;50515;51363;55501;55790;63827;7358;10090;10057;57214;55512;5155
GO:0006024,glycosaminoglycan biosynthetic process,"The chemical reactions and pathways resulting in the formation of glycosaminoglycans, any of a group of polysaccharides that contain amino sugars.",BP,9.41822757522368e-6,37,107,252042,1476651,0.001802527047088231,10331;2683;6482;6483;6484;6487;9331;1462;1464;22856;50515;51363;55501;55790;63827;64131;7358;10090;10057;57214;55512;5155;10082;11227;2131;222537;2651;2817;3073;3339;6382;6383;6385;64711;92370;9394;9953
