seqnames,start,end,width,strand,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,symbol,refseq,ensembl
chr1,998507,999838,1332,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,1049783,1050731,949,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,1061709,1062176,468,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,1684247,1684592,346,*,65220,1672531,1701368,-,inside,17121,11716,Overlapping,NADK,NM_001198993;NM_001198994;NM_001198995;NM_001353641;NM_001353642;NM_023018;NP_001185922;NP_001185923;NP_001185924;NP_001340570;NP_001340571;NP_075394;XM_006710839;XM_011542006;XM_011542007;XM_011542008;XM_011542009;XM_017002143;XM_017002144;XM_017002145;XM_017002146;XP_006710902;XP_011540308;XP_011540309;XP_011540310;XP_011540311;XP_016857632;XP_016857633;XP_016857634;XP_016857635;XR_001737371;XR_946747,ENSG00000008130
chr1,1714586,1715163,578,*,2782,1706589,1812355,-,inside,97769,7997,Overlapping,GNB1,NM_001282538;NM_001282539;NM_002074;NP_001269467;NP_001269468;NP_002065;XM_017001059;XM_017001060;XM_017001061;XM_024446495;XP_016856548;XP_016856549;XP_016856550;XP_024302263,ENSG00000078369
chr1,2026264,2026803,540,*,5590,1971769,2106694,+,inside,54495,54495,Overlapping,PRKCZ,NM_001033581;NM_001033582;NM_001242874;NM_001350803;NM_001350804;NM_001350805;NM_001350806;NM_002744;NP_001028753;NP_001028754;NP_001229803;NP_001337732;NP_001337733;NP_001337734;NP_001337735;NP_002735;NR_146911;XM_011541773;XM_011541774;XM_011541775;XM_011541776;XM_017001789;XM_017001790;XM_017001792;XM_017001793;XM_017001797;XM_017001800;XM_017001801;XM_017001802;XM_017001803;XM_024448390;XM_024448391;XM_024448396;XM_024448397;XP_011540075;XP_011540076;XP_011540077;XP_011540078;XP_016857278;XP_016857279;XP_016857281;XP_016857282;XP_016857286;XP_016857289;XP_016857290;XP_016857291;XP_016857292;XP_024304158;XP_024304159;XP_024304164;XP_024304165;XR_001737315;XR_002957130;XR_002957131,ENSG00000067606
chr1,2456226,2456767,542,*,388585,2450044,2451544,-,upstream,-4682,4682,Overlapping,HES5,NM_001010926;NP_001010926;XM_005244751;XP_005244808,ENSG00000197921;ENSG00000273529
chr1,2992150,2992687,538,*,63976,2975604,3345045,+,inside,16546,16546,Overlapping,PRDM16,NM_022114;NM_199454;NP_071397;NP_955533;XM_005244772;XM_005244773;XM_005244774;XM_006710814;XM_011541945;XM_017002050;XP_005244829;XP_005244830;XP_005244831;XP_006710877;XP_011540247;XP_016857539,ENSG00000142611
chr1,3119965,3120537,573,*,63976,2975604,3345045,+,inside,144361,144361,Overlapping,PRDM16,NM_022114;NM_199454;NP_071397;NP_955533;XM_005244772;XM_005244773;XM_005244774;XM_006710814;XM_011541945;XM_017002050;XP_005244829;XP_005244830;XP_005244831;XP_006710877;XP_011540247;XP_016857539,ENSG00000142611
chr1,3167690,3168358,669,*,63976,2975604,3345045,+,inside,192086,176687,Overlapping,PRDM16,NM_022114;NM_199454;NP_071397;NP_955533;XM_005244772;XM_005244773;XM_005244774;XM_006710814;XM_011541945;XM_017002050;XP_005244829;XP_005244830;XP_005244831;XP_006710877;XP_011540247;XP_016857539,ENSG00000142611
chr1,3244676,3245142,467,*,63976,2975604,3345045,+,inside,269072,99903,Overlapping,PRDM16,NM_022114;NM_199454;NP_071397;NP_955533;XM_005244772;XM_005244773;XM_005244774;XM_006710814;XM_011541945;XM_017002050;XP_005244829;XP_005244830;XP_005244831;XP_006710877;XP_011540247;XP_016857539,ENSG00000142611
chr1,3493440,3494269,830,*,1953,3394366,3517919,-,inside,24479,23650,Overlapping,MEGF6,NM_001409;NP_001400;XM_006710406;XM_011540885;XM_011540886;XM_011540887;XM_011540888;XM_017000533;XP_006710469;XP_011539187;XP_011539188;XP_011539189;XP_011539190;XP_016856022,ENSG00000162591
chr1,3561079,3561609,531,*,49856,3537198,3556497,-,upstream,-4582,4582,Overlapping,WRAP73,NM_017818;NP_060288;XM_005244754;XM_017001387;XP_005244811;XP_016856876;XR_946661,ENSG00000116213
chr1,3561079,3561609,531,*,7161,3558989,3640327,+,inside,2090,2090,Overlapping,TP73,NM_001126240;NM_001126241;NM_001126242;NM_001204184;NM_001204185;NM_001204186;NM_001204187;NM_001204188;NM_001204189;NM_001204190;NM_001204191;NM_001204192;NM_005427;NP_001119712;NP_001119713;NP_001119714;NP_001191113;NP_001191114;NP_001191115;NP_001191116;NP_001191117;NP_001191118;NP_001191119;NP_001191120;NP_001191121;NP_005418,ENSG00000078900
chr1,5272821,5273218,398,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,5333179,5333596,418,*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,6083680,6084065,386,*,26038,6084440,6162770,-,downstream,79090,375,Overlapping,CHD5,NM_015557;NP_056372,ENSG00000116254
chr1,6083680,6084065,386,*,8514,5975353,6083110,+,downstream,108327,570,Overlapping,KCNAB2,NM_001199860;NM_001199861;NM_001199862;NM_001199863;NM_003636;NM_172130;NP_001186789;NP_001186790;NP_001186791;NP_001186792;NP_003627;NP_742128;XM_005263514;XM_011542321;XM_011542322;XM_017002618;XM_017002619;XM_017002620;XM_017002621;XP_005263571;XP_011540623;XP_011540624;XP_016858107;XP_016858108;XP_016858109;XP_016858110,ENSG00000069424
chr1,6140272,6141048,777,*,26038,6084440,6162770,-,inside,22498,21722,Overlapping,CHD5,NM_015557;NP_056372,ENSG00000116254
chr1,6465768,6466177,410,*,57449,6448739,6502656,-,inside,36888,17029,Overlapping,PLEKHG5,NM_001042663;NM_001042664;NM_001042665;NM_001265592;NM_001265593;NM_001265594;NM_020631;NM_198681;NP_001036128;NP_001036129;NP_001036130;NP_001252521;NP_001252522;NP_001252523;NP_065682;NP_941374,ENSG00000171680
chr1,6594225,6594661,437,*,148479,6596343,6606680,+,upstream,-2118,1682,Overlapping,PHF13,NM_153812;NP_722519;XM_011540762;XP_011539064,ENSG00000116273
